&##&promotion.look_at_the_gift&##&,&##&查看赠品&##&
&##&审核的状态不正确&##&,&##&审核的状态不正确&##&
&##&审核不通过备注不能为空&##&,&##&审核不通过备注不能为空&##&
&##&活动状态不能为空&##&,&##&活动状态不能为空&##&
&##&砍价活动审核拒绝异常!&##&,&##&砍价活动审核拒绝异常!&##&
&##&该砍价活动无法关闭，请检查&##&,&##&该砍价活动无法关闭，请检查&##&
&##&修改砍价活动关联报名信息异常&##&,&##&修改砍价活动关联报名信息异常&##&
&##&关闭砍价活动异常&##&,&##&关闭砍价活动异常&##&
&##&该砍价活动无法删除，请检查&##&,&##&该砍价活动无法删除，请检查&##&
&##&删除砍价活动异常&##&,&##&删除砍价活动异常&##&
&##&查询操作流失异常!&##&,&##&查询操作流失异常!&##&
&##&查询操作流失详情异常!&##&,&##&查询操作流失详情异常!&##&
&##&新增组合阶梯出错&##&,&##&新增组合阶梯出错&##&
&##&删除组合阶梯出错&##&,&##&删除组合阶梯出错&##&
&##&更新组合阶梯出错&##&,&##&更新组合阶梯出错&##&
&##&抽奖规则审核失败&##&,&##&抽奖规则审核失败&##&
&##&用户昵称&##&,&##&用户昵称&##&
&##&各时间段促销商品不能为空！&##&,&##&各时间段促销商品不能为空！&##&
&##&面额/已用金额/剩余金额&##&,&##&面额/已用金额/剩余金额&##&
&##&根据ID查询促销活动异常&##&,&##&根据ID查询促销活动异常&##&
&##&渠道不能为空&##&,&##&渠道不能为空&##&
&##&免单活动ID异常&##&,&##&免单活动ID异常&##&
&##&只有满额、满量促销支持加载全部商品!&##&,&##&只有满额、满量促销支持加载全部商品!&##&
&##&保存代理商限制规则失败&##&,&##&保存代理商限制规则失败&##&
&##&系统异常,请稍后再试!&##&,&##&系统异常,请稍后再试!&##&
&##&更新免单活动状态出错&##&,&##&更新免单活动状态出错&##&
&##&收货人姓名&##&,&##&收货人姓名&##&
&##&商品库存已经解冻，无法再次冻结库存&##&,&##&商品库存已经解冻，无法再次冻结库存&##&
&##&查询促销概况配置osc-promTypeList失败&##&,&##&查询促销概况配置osc-promTypeList失败&##&
&##&查询促销选品异常&##&,&##&查询促销选品异常&##&
&##&中奖时间&##&,&##&中奖时间&##&
&##&根据id查询商家名称异常&##&,&##&根据id查询商家名称异常&##&
&##&报名设置商品列表导出,参数转换异常&##&,&##&报名设置商品列表导出,参数转换异常&##&
&##&当前促销活动已经解冻商品库存，无法再次冻结&##&,&##&当前促销活动已经解冻商品库存，无法再次冻结&##&
&##&冻结生效的促销商品库存异常&##&,&##&冻结生效的促销商品库存异常&##&
&##&参数信息不正确&##&,&##&参数信息不正确&##&
&##&查询免单订单汇总信息异常&##&,&##&查询免单订单汇总信息异常&##&
&##&更新免单活动异常&##&,&##&更新免单活动异常&##&
&##&加载全部商品异常&##&,&##&加载全部商品异常&##&
&##&报名活动已过期&##&,&##&报名活动已过期&##&
&##&当前状态的活动不能导入商品&##&,&##&当前活动类型不能导入商品&##&
&##&成功导入选品：&##&,&##&成功导入选品：&##&
&##&存在未设置促销参数的商品，无法申请报名&##&,&##&存在未设置促销参数的商品，无法申请报名&##&
&##&请选择删除的商家&##&,&##&请选择删除的商家&##&
&##&添加赠品出错&##&,&##&添加赠品出错&##&
&##&套餐设置存在必填项为空，请检查！&##&,&##&套餐设置存在必填项为空，请检查！&##&
&##&免单活动审核通过异常!&##&,&##&免单活动审核通过异常!&##&
&##&查询免单活动列表异常!&##&,&##&查询免单活动列表异常!&##&
&##&删除免单活动出错&##&,&##&删除免单活动出错&##&
&##&类目&##&,&##&类目&##&
&##&个人限定购买个数&##&,&##&个人限定购买个数&##&
&##&导出抽奖列表失败&##&,&##&导出抽奖列表失败&##&
&##&更新报名活动商品结算价异常&##&,&##&更新报名活动商品结算价异常&##&
&##&查询地区列表失败&##&,&##&查询地区列表失败&##&
&##&删除标签与活动关联信息异常&##&,&##&删除标签与活动关联信息异常&##&
&##&促销活动状态变更，无法冻结此促销活动商品&##&,&##&促销活动状态变更，无法冻结此促销活动商品&##&
&##&当前活动类型不能导入商品&##&,&##&当前活动类型不能导入商品&##&
&##&更新秒杀发布状态异常&##&,&##&更新秒杀发布状态异常&##&
&##&您没有操作改促销的权限!&##&,&##&您没有操作改促销的权限!&##&
&##&查询代理商等级异常&##&,&##&查询代理商等级异常&##&
&##&当前主题下已存在活动，不允许修改&##&,&##&当前主题下已存在活动，不允许修改&##&
&##&查询免单订单列表异常!&##&,&##&查询免单订单列表异常!&##&
&##&订单类型&##&,&##&订单类型&##&
&##&加载全部商品时，促销活动为空!&##&,&##&加载全部商品时，促销活动为空!&##&
&##&继续提交失败,未知错误！&##&,&##&继续提交失败,未知错误！&##&
&##&请选择添加的商品&##&,&##&请选择添加的商品&##&
&##&促销ID为空！&##&,&##&促销ID为空！&##&
&##&拼团活动审核拒绝异常!&##&,&##&拼团活动审核拒绝异常!&##&
&##&关闭免单活动异常!&##&,&##&关闭免单活动异常!&##&
&##&特价&##&,&##&特价&##&
&##&普通&##&,&##&普通&##&
&##&未选择任何门店&##&,&##&未选择任何店铺&##&
&##&中奖奖品&##&,&##&中奖奖品&##&
&##&下单时间&##&,&##&下单时间&##&
&##&批量插入促销商品互斥记录信息异常&##&,&##&批量插入促销商品互斥记录信息异常&##&
&##&已存在相同名称的标签!&##&,&##&已存在相同名称的标签!&##&
&##&查询支付方式出错&##&,&##&查询支付方式出错&##&
&##&SQL异常，操作失败&##&,&##&SQL异常，操作失败&##&
&##&查询支付平台出错&##&,&##&查询支付平台出错&##&
&##&待提交&##&,&##&待提交&##&
&##&修改标签信息异常&##&,&##&修改标签信息异常&##&
&##&抽奖列表异常&##&,&##&抽奖列表异常&##&
&##&保存拼团活动异常!&##&,&##&保存拼团活动异常!&##&
&##&创建免单活动异常&##&,&##&创建免单活动异常&##&
&##&待设置活动结算价的报名商品&##&,&##&待设置活动结算价的报名商品&##&
&##&请选择要导入的Excel文件&##&,&##&请选择要导入的Excel文件&##&
&##&免单总金额&##&,&##&免单总金额&##&
&##&查询促销商品scope异常&##&,&##&查询促销商品scope异常&##&
&##&卡明细列表&##&,&##&卡明细列表&##&
&##&该免单活动无法删除，请检查&##&,&##&该免单活动无法删除，请检查&##&
&##&查询赠品出错&##&,&##&查询赠品出错&##&
&##&查询已选地区列表异常&##&,&##&查询已选地区列表异常&##&
&##&导出卡明细列表异常&##&,&##&导出卡明细列表异常&##&
&##&收货地址&##&,&##&收货地址&##&
&##&查询代理商模式异常&##&,&##&查询代理商模式异常&##&
&##&促销活动不是待提交状态，不能删除&##&,&##&促销活动不是待提交状态，不能删除&##&
&##&免单现金&##&,&##&免单现金&##&
&##&全网限定购买个数&##&,&##&全网限定购买个数&##&
&##&商品列表不可为空！&##&,&##&商品列表不可为空！&##&
&##&查询抽奖活动异常&##&,&##&查询抽奖活动异常&##&
&##&促销参数审核不通过&##&,&##&促销参数审核不通过&##&
&##&联系电话&##&,&##&联系电话&##&
&##&添加商品为空！&##&,&##&添加商品为空！&##&
&##&删除促销活动异常&##&,&##&删除促销活动异常&##&
&##&条；&##&,&##&条；&##&
&##&新增拼团活动异常!&##&,&##&新增拼团活动异常!&##&
&##&礼金卡密码&##&,&##&礼金卡密码&##&
&##&参数不足&##&,&##&参数不足&##&
&##&请选择要修改的数据&##&,&##&请选择要修改的数据&##&
&##&促销活动已提交审核，不能删除选品&##&,&##&促销活动已提交审核，不能删除选品&##&
&##&删除免单活动异常!&##&,&##&删除免单活动异常!&##&
&##&活动是否重设分利规则和分销设置分利规则不一致&##&,&##&活动是否重设分利规则和分销设置分利规则不一致&##&
&##&查询免单活动列表异常&##&,&##&查询免单活动列表异常&##&
&##&礼金卡卡号&##&,&##&礼金卡卡号&##&
&##&没找到该活动，追加失败,&##&,&##&没找到该活动，追加失败,&##&
&##&查询促销活动为空&##&,&##&查询促销活动为空&##&
&##&商家信息校验不通过&##&,&##&商家信息校验不通过&##&
&##&更新库存异常!&##&,&##&更新库存异常!&##&
&##&参数错误&##&,&##&参数错误&##&
&##&免单记录列表&##&,&##&免单记录列表&##&
&##&文件上传格式必须为jpg、png、jpeg或者bmp&##&,&##&文件上传格式必须为jpg、png、jpeg或者bmp&##&
&##&审核的活动的状态不正确&##&,&##&审核的活动的状态不正确&##&
&##&预售定金不能为零，请检查！&##&,&##&预售定金不能为零，请检查！&##&
&##&查询选品表为空&##&,&##&查询选品表为空&##&
&##&查询阶梯券列表出错&##&,&##&查询阶梯券列表出错&##&
&##&保存免单活动异常!&##&,&##&保存免单活动异常!&##&
&##&删除互斥商品失败&##&,&##&删除互斥商品失败&##&
&##&营销活动查询为null&##&,&##&营销活动查询为null&##&
&##&关闭的活动的状态不正确&##&,&##&关闭的活动的状态不正确&##&
&##&处理失败&##&,&##&处理失败&##&
&##&促销价格或者限制信息异常：&##&,&##&促销价格或者限制信息异常：&##&
&##&选品提前终止异常&##&,&##&选品提前终止异常&##&
&##&免单活动审核不通过异常!&##&,&##&免单活动审核不通过异常!&##&
&##&免单佣金&##&,&##&免单佣金&##&
&##&存在必填项为空，请检查！&##&,&##&存在必填项为空，请检查！&##&
&##&查询不到促销活动&##&,&##&查询不到促销活动&##&
&##&参数错误!&##&,&##&参数错误!&##&
&##&拼团活动不存在&##&,&##&拼团活动不存在&##&
&##&删除赠品出错&##&,&##&删除赠品出错&##&
&##&查询用户列表出错&##&,&##&查询用户列表出错&##&
&##&没有可以导入的数据&##&,&##&没有可以导入的数据&##&
&##&基础价格&##&,&##&基础价格&##&
&##&保存全部商品异常&##&,&##&保存全部商品异常&##&
&##&礼金卡卡种名称&##&,&##&礼金卡卡种名称&##&
&##&免单积分&##&,&##&免单积分&##&
&##&修改失败&##&,&##&修改失败&##&
&##&礼金卡卡种ID&##&,&##&礼金卡卡种ID&##&
&##&请输入正确的标签名称!&##&,&##&请输入正确的标签名称!&##&
&##&更新报名商品状态异常&##&,&##&更新报名商品状态异常&##&
&##&提交抽奖规则失败&##&,&##&提交抽奖规则失败&##&
&##&卡有效期&##&,&##&卡有效期&##&
&##&查询互斥列表异常&##&,&##&查询互斥列表异常&##&
&##&删除时段商品异常！&##&,&##&删除时段商品异常！&##&
&##&删除赠品阶梯出错&##&,&##&删除赠品阶梯出错&##&
&##&查询阶梯赠品列表出错&##&,&##&查询阶梯赠品列表出错&##&
&##&产品&##&,&##&产品&##&
&##&删除选品为空&##&,&##&删除选品为空&##&
&##&查询免单活动详情异常!&##&,&##&查询免单活动详情异常!&##&
&##&删除生效的促销商品异常&##&,&##&删除生效的促销商品异常&##&
&##&修改价格和限制数量异常&##&,&##&修改价格和限制数量异常&##&
&##&新增失败&##&,&##&新增失败&##&
&##&免单活动提交审核异常!&##&,&##&免单活动提交审核异常!&##&
&##&抽奖列表导出,参数转换异常&##&,&##&抽奖列表导出,参数转换异常&##&
&##&创建抽奖规则失败&##&,&##&创建抽奖规则失败&##&
&##&订单编号&##&,&##&订单编号&##&
&##&查询商品列表异常&##&,&##&查询商品列表异常&##&
&##&查询拼团活动异常&##&,&##&查询拼团活动异常&##&
&##&不属于活动商家的编码：&##&,&##&不属于活动商家的编码：&##&
&##&导入选品异常&##&,&##&导入选品异常&##&
&##&查询互斥列表时，参数为空!&##&,&##&查询互斥列表时，参数为空!&##&
&##&没有要报名的商品&##&,&##&没有要报名的商品&##&
&##&用户名&##&,&##&用户名&##&
&##&查询免单活动详情异常&##&,&##&查询免单活动详情异常&##&
&##&查询抽奖活动列表异常&##&,&##&查询抽奖活动列表异常&##&
&##&代理商限制规则为空&##&,&##&代理商限制规则为空&##&
&##&砍价&##&,&##&砍价&##&
&##&请导入Excel文件&##&,&##&请导入Excel文件&##&
&##&新增标签信息异常&##&,&##&新增标签信息异常&##&
&##&请传入正确的参数!&##&,&##&请传入正确的参数!&##&
&##&标签与活动关联信息异常&##&,&##&标签与活动关联信息异常&##&
&##&查询优惠券列表出错&##&,&##&查询优惠券列表出错&##&
&##&免单活动不存在&##&,&##&免单活动不存在&##&
&##&成功删除抽奖活动&##&,&##&成功删除抽奖活动&##&
&##&查询已选商家列表异常&##&,&##&查询已选商家列表异常&##&
&##&活动抽奖记录列表&##&,&##&活动抽奖记录列表&##&
&##&成功关闭抽奖活动&##&,&##&成功关闭抽奖活动&##&
&##&参数不正确&##&,&##&参数不正确&##&
&##&导入成功！&##&,&##&导入成功！&##&
&##&所选商品状态不允许撤回&##&,&##&所选商品状态不允许撤回&##&
&##&该模式下只有1个代理商等级，无法创建升级活动&##&,&##&该模式下只有1个代理商等级，无法创建升级活动&##&
&##&查询赠品阶梯规则出错&##&,&##&查询赠品阶梯规则出错&##&
&##&查询互斥列表时，促销活动为空!&##&,&##&查询互斥列表时，促销活动为空!&##&
&##&奖项等级&##&,&##&奖项等级&##&
&##&终端消费者&##&,&##&终端消费者&##&
&##&更新商品主图信息异常&##&,&##&更新商品主图信息异常&##&
&##&查询营销流程为null&##&,&##&查询营销流程为null&##&
&##&创建抽奖活动失败&##&,&##&创建抽奖活动失败&##&
&##&删除互斥商品列表入参不能为空&##&,&##&删除互斥商品列表入参不能为空&##&
&##&请先选择活动商家&##&,&##&请先选择活动商家&##&
&##&查询已选产品列表异常&##&,&##&查询已选产品列表异常&##&
&##&查询免单订单汇总信息异常!&##&,&##&查询免单订单汇总信息异常!&##&
&##&删除选品异常&##&,&##&删除选品异常&##&
&##&任务已提交审核，不能修改&##&,&##&任务已提交审核，不能修改&##&
&##&收货人手机&##&,&##&收货人手机&##&
&##&修改单品特价异常&##&,&##&修改单品特价异常&##&
&##&导出卡明细列表成功&##&,&##&导出卡明细列表成功&##&
&##&查询选择商品子品异常！&##&,&##&查询选择商品子品异常！&##&
&##&更新赠品阶梯出错&##&,&##&更新赠品阶梯出错&##&
&##&免单记录&##&,&##&免单记录&##&
&##&申请报名失败&##&,&##&申请报名失败&##&
&##&拼团活动审核通过失败，&##&,&##&拼团活动审核通过失败，&##&
&##&生卡日期&##&,&##&生卡日期&##&
&##&新增赠品阶梯出错&##&,&##&新增赠品阶梯出错&##&
&##&查不到该促销活动&##&,&##&查不到该促销活动&##&
&##&处理成功&##&,&##&处理成功&##&
&##&任务已提交审核，不能修改该流程&##&,&##&任务已提交审核，不能修改该流程&##&
&##&修改商品主图异常&##&,&##&修改商品主图异常&##&
&##&追加商品异常&##&,&##&追加商品异常&##&
&##&查询抽奖奖项异常&##&,&##&查询抽奖奖项异常&##&
&##&收货人&##&,&##&收货人&##&
&##&促销商品不能为空！&##&,&##&促销商品不能为空！&##&
&##&预售&##&,&##&预售&##&
&##&查询支付渠道异常&##&,&##&查询支付渠道异常&##&
&##&查询互斥商品列表失败&##&,&##&查询互斥商品列表失败&##&
&##&查询促销商品互斥记录异常&##&,&##&查询促销商品互斥记录异常&##&
&##&绑定账户&##&,&##&绑定账户&##&
&##&查询用户详情出错&##&,&##&查询用户详情出错&##&
&##&导出免单记录失败&##&,&##&导出免单记录失败&##&
&##&报名记录id不能为空&##&,&##&报名记录id不能为空&##&
&##&修改成功&##&,&##&修改成功&##&
&##&更新时段商品异常！&##&,&##&更新时段商品异常！&##&
&##&免单状态&##&,&##&免单状态&##&
&##&更新赠品出错&##&,&##&更新赠品出错&##&
&##&提交抽奖规则成功&##&,&##&提交抽奖规则成功&##&
&##&查询图片异常&##&,&##&查询图片异常&##&
&##&当类型为商品、优惠券时，所选奖品不能为空&##&,&##&当类型为商品、优惠券时，所选奖品不能为空&##&
&##&新增赠品列表出错&##&,&##&新增赠品列表出错&##&
&##&拼团&##&,&##&拼团&##&
&##&查询抽奖活动详情异常&##&,&##&查询抽奖活动详情异常&##&
&##&查询活动无商品&##&,&##&查询活动无商品&##&
&##&卡明细列表导出,转码异常&##&,&##&卡明细列表导出,转码异常&##&
&##&订单总金额&##&,&##&订单总金额&##&
&##&财务审核不通过&##&,&##&财务审核不通过&##&
&##&查询促销活动出错&##&,&##&查询促销活动出错&##&
&##&创建抽奖规则成功&##&,&##&创建抽奖规则成功&##&
&##&促销信息为空！&##&,&##&促销信息为空！&##&
&##&查询用户类型列表出错&##&,&##&查询用户类型列表出错&##&
&##&更新赠品列表出错&##&,&##&更新赠品列表出错&##&
&##&拼团活动提交审核异常!&##&,&##&拼团活动提交审核异常!&##&
&##&报名活动不存在&##&,&##&报名活动不存在&##&
&##&查询不到代理商等级&##&,&##&查询不到代理商等级&##&
&##&更新选品排序异常&##&,&##&更新选品排序异常&##&
&##&文件大小不能超过2兆&##&,&##&文件大小不能超过2兆&##&
&##&查询时段商品异常！&##&,&##&查询时段商品异常！&##&
&##&活动抽奖记录&##&,&##&活动抽奖记录&##&
&##&抽奖规则审核完成&##&,&##&抽奖规则审核完成&##&
&##&提交审核的活动的状态不正确&##&,&##&提交审核的活动的状态不正确&##&
&##&查询选品表出错&##&,&##&查询选品表出错&##&
&##&任务已提交审核，不能删除该流程&##&,&##&任务已提交审核，不能删除该流程&##&
&##&promotion.full_x_pieces_y_fold&##&,&##&满X件Y折&##&
&##&复制&##&,&##&复制&##&
&##&您没有参与任何砍价活动&##&,&##&您没有参与任何砍价活动&##&
&##&请输入正确的参数&##&,&##&请输入正确的参数&##&
&##&未知错误!&##&,&##&未知错误!&##&
&##&领取失败&##&,&##&领取失败&##&
&##&删除过期优惠券失败&##&,&##&删除过期优惠券失败&##&
&##&优惠券编码不能为空&##&,&##&优惠券编码不能为空&##&
&##&orderCode不能为空&##&,&##&orderCode不能为空&##&
&##&没有找到砍价商品ID&##&,&##&没有找到砍价商品ID&##&
&##&没有找到参与砍价的商品ID&##&,&##&没有找到参与砍价的商品ID&##&
&##&没有找到砍价商品的信息&##&,&##&没有找到砍价商品的信息&##&
&##&砍价商品ID不能为空&##&,&##&砍价商品ID不能为空&##&
&##&砍价单ID不能为空&##&,&##&The price list ID can not be empty&##&
&##&警告&##&,&##&警告&##&
&##&异常&##&,&##&异常&##&
&##&请求异常，没有找到参与砍价的商品&##&,&##&请求异常，没有找到参与砍价的商品&##&
&##&输入参数不能为空&##&,&##&输入参数不能为空&##&
&##&手机号码格式不正确&##&,&##&手机号码格式不正确&##&
&##&系统错误&##&,&##&系统错误&##&
&##&查询失败&##&,&##&查询失败&##&
&##&patchGrouponId不能为空&##&,&##&patchGrouponId不能为空&##&
&##&instanceId不能为空&##&,&##&instanceId不能为空&##&
&##&查询团单信息失败&##&,&##&查询团单信息失败&##&
&##&用户未登录&##&,&##&用户未登录&##&
&##&参数为空&##&,&##&参数为空&##&
&##&每页页数为空&##&,&##&每页页数为空&##&
&##&操作日志数据不能为null!&##&,&##&操作日志数据不能为null!&##&
&##&云pos同步日志数据出错!&##&,&##&云pos同步日志数据出错!&##&
&##&参数非法&##&,&##&参数非法&##&
&##&查询中奖记录信息异常&##&,&##&查询中奖记录信息异常&##&
&##&promotion.enjoy_preferential_treatment_at_the_highest_level&##&,&##&按最高层级享受优惠&##&
&##&更新抽奖限制信息出错&##&,&##&更新抽奖限制信息出错&##&
&##&promotion.one_discount_per_full_class&##&,&##&每满一级优惠一次&##&
&##&更新中奖限制信息出错&##&,&##&更新中奖限制信息出错&##&
&##&获取奖项信息异常&##&,&##&获取奖项信息异常&##&
&##&抽奖异常&##&,&##&抽奖异常&##&
&##&查询优惠券出错&##&,&##&查询优惠券出错&##&
&##&操作失败&##&,&##&操作失败&##&
&##&请检查经经纬度信息是否正确!&##&,&##&请检查经经纬度信息是否正确!&##&
&##&请输入正确的区域&##&,&##&请输入正确的区域&##&
&##&更新中奖记录信息异常&##&,&##&更新中奖记录信息异常&##&
&##&请检查领奖地址信息&##&,&##&请检查领奖地址信息&##&
&##&新增领奖地址信息异常&##&,&##&新增领奖地址信息异常&##&
&##&当前奖品已被领取&##&,&##&当前奖品已被领取&##&
&##&当前奖品已过期&##&,&##&当前奖品已过期&##&
&##&查询抽奖活动信息异常&##&,&##&查询抽奖活动信息异常&##&
&##&查询抽奖奖品信息异常&##&,&##&查询抽奖奖品信息异常&##&
&##&查不到该抽奖活动&##&,&##&查不到该抽奖活动&##&
&##&获取抽奖记录锁异常&##&,&##&获取抽奖记录锁异常&##&
&##&获取抽奖记录异常&##&,&##&获取抽奖记录异常&##&
&##&未审核&##&,&##&未审核&##&
&##&待审核&##&,&##&待审核&##&
&##&审核不通过&##&,&##&审核不通过&##&
&##&进行中&##&,&##&进行中&##&
&##&已关闭&##&,&##&已关闭&##&
&##&中奖&##&,&##&中奖&##&
&##&未中奖&##&,&##&未中奖&##&
&##&谢谢参与&##&,&##&谢谢参与&##&
&##&活动未开始&##&,&##&活动未开始&##&
&##&活动已结束&##&,&##&活动已结束&##&
&##&今日抽奖机会已用完&##&,&##&今日抽奖机会已用完&##&
&##&抽奖机会已用完&##&,&##&抽奖机会已用完&##&
&##&积分不足&##&,&##&积分不足&##&
&##&无有效订单&##&,&##&无有效订单&##&
&##&新用户不能参与此抽奖&##&,&##&新用户不能参与此抽奖&##&
&##&老用户不能参与此抽奖&##&,&##&老用户不能参与此抽奖&##&
&##&未知的状态&##&,&##&未知的状态&##&
&##&当前状态不能修改&##&,&##&当前状态不能修改&##&
&##&当前促销活动已终止,不能修改&##&,&##&当前促销活动已终止,不能修改&##&
&##&当前状态不能修改成传入的状态&##&,&##&当前状态不能修改成传入的状态&##&
&##&活动时间冲突，请更改活动时间&##&,&##&活动时间冲突，请更改活动时间&##&
&##&查询异常&##&,&##&查询异常&##&
&##&查询赠品列表异常&##&,&##&查询赠品列表异常&##&
&##&查询促销活动，个人可购买数量失败&##&,&##&查询促销活动，个人可购买数量失败&##&
&##&查询促销活动，限制规则异常&##&,&##&查询促销活动，限制规则异常&##&
&##&查询促销活动，个人限制规则异常&##&,&##&查询促销活动，个人限制规则异常&##&
&##&查询促销活动用户类型异常，用户类型异常&##&,&##&查询促销活动用户类型异常，用户类型异常&##&
&##&查询促销活动对象异常，促销活动对象异常&##&,&##&查询促销活动对象异常，促销活动对象异常&##&
&##&校验促销活动对象异常，校验促销活动对象异常&##&,&##&校验促销活动对象异常，校验促销活动对象异常&##&
&##&查询套餐组异常，主品组，或搭配组异常&##&,&##&查询套餐组异常，主品组，或搭配组异常&##&
&##&查询促销套餐详情，套餐加车校验异常&##&,&##&查询促销套餐详情，套餐加车校验异常&##&
&##&所传主品中没有找到正在进行的套餐促销&##&,&##&所传主品中没有找到正在进行的套餐促销&##&
&##&查询不到数据异常&##&,&##&查询不到数据异常&##&
&##&更改数据异常&##&,&##&更改数据异常&##&
&##&删除赠品异常&##&,&##&删除赠品异常&##&
&##&更新赠品限制数量和换购价异常&##&,&##&更新赠品限制数量和换购价异常&##&
&##&插入数据异常&##&,&##&插入数据异常&##&
&##&添加赠品异常&##&,&##&添加赠品异常&##&
&##&促销价格和已存在促销价格冲突&##&,&##&促销价格和已存在促销价格冲突&##&
&##&促销个人购买该商品个数超限&##&,&##&促销个人购买该商品个数超限&##&
&##&促销个人购买该商品个数超限.&##&,&##&促销个人购买该商品个数超限.&##&
&##&促销个人参与该商家次数超限.&##&,&##&促销个人参与该商家次数超限.&##&
&##&促销个人参与促销活动次数超限.&##&,&##&促销个人参与促销活动次数超限.&##&
&##&促销商品总数超过限制.&##&,&##&促销商品总数超过限制.&##&
&##&促销商家总数超过限制.&##&,&##&促销商家总数超过限制.&##&
&##&促销总数超过限制.&##&,&##&促销总数超过限制.&##&
&##&促销优惠总金额超过限制.&##&,&##&促销优惠总金额超过限制.&##&
&##&促销赠品总数超过限制.&##&,&##&促销赠品总数超过限制.&##&
&##&促销产品总数超过限制.&##&,&##&促销产品总数超过限制.&##&
&##&当前参与促销人员太多，请稍后重试&##&,&##&当前参与促销人员太多，请稍后重试&##&
&##&当前领取促销活动赠品的人员太多，请稍后重试&##&,&##&当前领取促销活动赠品的人员太多，请稍后重试&##&
&##&促销活动没有限制.&##&,&##&促销活动没有限制.&##&
&##&订单中商品促销活动已结束&##&,&##&订单中商品促销活动已结束&##&
&##&订单中赠品数量大于可领取数量&##&,&##&订单中赠品数量大于可领取数量&##&
&##&该促销不支持所选支付类型&##&,&##&该促销不支持所选支付类型&##&
&##&订单中没有主品信息&##&,&##&订单中没有主品信息&##&
&##&同步商品级别促销总量限制异常.&##&,&##&同步商品级别促销总量限制异常.&##&
&##&同步赠品级别促销总量限制异常.&##&,&##&同步赠品级别促销总量限制异常.&##&
&##&同步商品级别个人限制异常.&##&,&##&同步商品级别个人限制异常.&##&
&##&回退产品级别促销限制（全网/个人）数量异常.&##&,&##&回退产品级别促销限制（全网/个人）数量异常.&##&
&##&商品限购规则异常，无promotion_limit数据.&##&,&##&商品限购规则异常，无promotion_limit数据.&##&
&##&订单中赠品数量大于倍量时促销赠品限制.&##&,&##&订单中赠品数量大于倍量时促销赠品限制.&##&
&##&同步个人参与促销活动次数限制异常.&##&,&##&同步个人参与促销活动次数限制异常.&##&
&##&同步产品级别促销总量限制异常.&##&,&##&同步产品级别促销总量限制异常.&##&
&##&获取促销限制类型SQL异常&##&,&##&获取促销限制类型SQL异常&##&
&##&无对应的生效促销&##&,&##&无对应的生效促销&##&
&##&同步促销价格到GPS异常&##&,&##&同步促销价格到GPS异常&##&
&##&查询商品促销限制异常&##&,&##&查询商品促销限制异常&##&
&##&提前终止选品异常&##&,&##&提前终止选品异常&##&
&##&查不到该促销或该促销已失效&##&,&##&查不到该促销或该促销已失效&##&
&##&不满足该促销规则&##&,&##&不满足该促销规则&##&
&##&请添加参加活动的商品&##&,&##&请添加参加活动的商品&##&
&##&请添加参加活动的赠品&##&,&##&请添加参加活动的赠品&##&
&##&本次选择的标签与活动已存在关联信息，请确认后进行关联！&##&,&##&本次选择的标签与活动已存在关联信息，请确认后进行关联！&##&
&##&时间格式错误！&##&,&##&时间格式错误！&##&
&##&门店ID错误！&##&,&##&店铺ID错误！&##&
&##&没有需要更新的数据&##&,&##&没有需要更新的数据&##&
&##&获取当前时间异常&##&,&##&获取当前时间异常&##&
&##&查询促销活动异常&##&,&##&查询促销活动异常&##&
&##&查询促销活动列表异常&##&,&##&查询促销活动列表异常&##&
&##&查询DM促销活动异常&##&,&##&查询DM促销活动异常&##&
&##&查询促销规则异常&##&,&##&查询促销规则异常&##&
&##&查询单一促销规则异常&##&,&##&查询单一促销规则异常&##&
&##&查询促销赠品异常&##&,&##&查询促销赠品异常&##&
&##&查询促销生效商品异常&##&,&##&查询促销生效商品异常&##&
&##&查询DM促销商品异常&##&,&##&查询DM促销商品异常&##&
&##&众筹活动设置促销规则异常&##&,&##&众筹活动设置促销规则异常&##&
&##&套餐活动设置促销规则异常&##&,&##&套餐活动设置促销规则异常&##&
&##&没有商家的操作权限&##&,&##&没有商家的操作权限&##&
&##&促销查询入参不合法！&##&,&##&促销查询入参不合法！&##&
&##&查询成功&##&,&##&查询成功&##&
&##&操作成功&##&,&##&操作成功&##&
&##&副本&##&,&##&副本&##&
&##&请求成功&##&,&##&请求成功&##&
&##&商品不存在&##&,&##&商品不存在&##&
&##&获取增值税发票错误&##&,&##&获取增值税发票错误&##&
&##&用户没有增值税发票信息&##&,&##&用户没有增值税发票信息&##&
&##&用户增值税发票信息获取成功&##&,&##&user VAT invoice information obtained successfully&##&
&##&处理成功!&##&,&##&处理成功!&##&
&##&没有找到消费商&##&,&##&没有找到消费商&##&
&##&时间格式不合法&##&,&##&时间格式不合法&##&
&##&没有权限!&##&,&##&没有权限!&##&
&##&参数不合法,提交失败!&##&,&##&参数不合法,提交失败!&##&
&##&orderAfterSalesId、returnCode两者不能同时为空&##&,&##&orderAfterSalesId、returnCode两者不能同时为空&##&
&##&订单状态参数为空&##&,&##&订单状态参数为空&##&
&##&分页参数错误&##&,&##&分页参数错误&##&
&##&查询限购贵则列表异常!&##&,&##&查询限购贵则列表异常!&##&
&##&查询限购贵则列表失败&##&,&##&查询限购贵则列表失败&##&
