&##&promotion.look_at_the_gift&##&,&##&look at the gift&##&
&##&promotion.id_card_denomination&##&,&##&id card denomination&##&
&##&门店ID错误！&##&,&##&wrong store ID!&##&
&##&promotion.application_for_registration_of_activities&##&,&##&application for registration of activities&##&
&##&查询免单活动列表异常!&##&,&##&Query the list of free activities is abnormal!&##&
&##&您好，您发起的砍价商品&##&,&##&Hello, your bargain price.&##&
&##&promotion.the_ladder_rules_must_be_filled_in&##&,&##&the ladder rules must be filled in&##&
&##&promotion.list_of_active_registration_records&##&,&##&list of active registration records&##&
&##&promotion.access_source_video&##&,&##&access source video&##&
&##&promotion.tuesday&##&,&##&tuesday&##&
&##&promotion.the_starting_time_of_the_end_payment_cannot_be_empty&##&,&##&the starting time of the end payment cannot be empty&##&
&##&promotion.modification_of_commodity_pool_commodity_success&##&,&##&modification of commodity pool commodity success&##&
&##&promotion.audit_unlawful&##&,&##&audit unlawful&##&
&##&promotion.other_goods_are_audited&##&,&##&other goods are audited&##&
&##&promotion.please_enter_the_correct_number&##&,&##&please enter the correct number&##&
&##&限享受%s次&##&,&##&Enjoy %s times&##&
&##&promotion.the_input_of_the_amount_of_payment_of_the_deposit_is_incorrect&##&,&##&the input of the amount of payment of the deposit is incorrect&##&
&##&promotion.sao_dance&##&,&##&sao dance&##&
&##&每第${X}件${Y}元&##&,&##&¥${Y} for every ${XTH} pc&##&
&##&促销个人购买该商品个数超限.&##&,&##&promoting individuals to buy the product beyond the limit&##&
&##&promotion.execution_after_examination_and_approval&##&,&##&execution after examination and approval&##&
&##&promotion.error_in_backstage_configuration_return_format&##&,&##&error in backstage configuration return format&##&
&##&无拼团活动商品，请重新设置产品或商家.&##&,&##&No products for group activities, please reset products or businesses.&##&
&##&订单类型&##&,&##&Order Type&##&
&##&promotion.field.point&##&,&##&point&##&
&##&promotion.create_integral_activities&##&,&##&creating integral activities&##&
&##&promotion.sit_down&##&,&##&sit down&##&
&##&full_x_pieces_y_fold_icon_url&##&,&##&https://cdn.oudianyun.com/dev/back-promotion-web/1541056558335_15.335732227290212_2d4ec3a1-649a-4eed-a94c-2660167af5c6.png&##&
&##&promotion.note_to_the_coupon&##&,&##&Note: the application of the coupon to the shop may be different from the activities involved in the shop. The gift coupon may not be the current store coupon.&##&
&##&promotion.hong_kong&##&,&##&hong kong&##&
&##&没有可以导入的数据&##&,&##&No data to import&##&
&##&拼团活动提交审核异常!&##&,&##&The submission of the group activity is abnormal!&##&
&##&查询赠品阶梯规则出错&##&,&##&Error in querying the giveaway ladder rule&##&
&##&promotion.the_use_of_object_member_types_must_be_selected&##&,&##&the use of object member types must be selected&##&
&##&promotion.success&##&,&##&success&##&
&##&promotion.import_failed_url&##&,&##&download failed records&##&
&##&promotion.add_product&##&,&##&add product&##&
&##&报名活动已开始或者结束，无法编辑&##&,&##&Registration activity has started or ended and cannot be edited&##&
&##&请求异常，没有找到参与砍价的商品&##&,&##&Request exceptions, no merchandise found in the bargain&##&
&##&满%s件送赠品&##&,&##&Free gift for %s pcs&##&
&##&promotion.the_total_number_of_channelStoreLimit_purchases_shall_be_limited_to&##&,&##&The number of single channel limits of the store should be limited to&##&
&##&promotion.single&##&,&##&single&##&
&##&查询团长ID异常&##&,&##&Query team leader ID exception&##&
&##&promotion.alipay&##&,&##&alipay&##&
&##&promotion.ritual_gold_card_number&##&,&##&ritual gold card number&##&
&##&promotion.import_goods&##&,&##&import goods&##&
&##&promotion.this_new_addition_will_not_come_into_effect&##&,&##&this new addition will not come into effect&##&
&##&promotion.re-add&##&,&##&re-add&##&
&##&入参不能为空&##&,&##&Entry cannot be empty&##&
&##&promotion.please_select_the_merchants_that_need_to_be_added&##&,&##&please select the merchants that need to be added&##&
&##&promotion.nickname&##&,&##&nickname&##&
&##&promotion.user_name&##&,&##&user name&##&
&##&查询赠品出错&##&,&##&Error in querying giveaways&##&
&##&promotion.handset&##&,&##&handset&##&
&##&promotion.new_user&##&,&##&new user&##&
&##&promotion.super_happy&##&,&##&super happy&##&
&##&promotion.preferential_approach&##&,&##&preferential approach&##&
&##&promotion.no_order_draw&##&,&##&no order draw&##&
&##&promotion.graphic_and_text_mix&##&,&##&graphic and text mix&##&
&##&promotion.commodity&##&,&##&commodity&##&
&##&promotion.promotion_type&##&,&##&promotion type&##&
&##&件送&##&,&##&Piece delivery&##&
&##&校验促销活动对象异常，校验促销活动对象异常&##&,&##&checkpromotion object exception, checkpromotion object exception&##&
&##&promotion.detailed_rules_of_the_activities&##&,&##&detailed rules of the activities&##&
&##&promotion.ritual_gold_card_type&##&,&##&ritual gold card type&##&
&##&promotion.growth_value_can_not_be_empty&##&,&##&growth value can not be empty&##&
&##&promotion.if_you_need_to_delete,_submit_an_application_for_application&##&,&##&if you need to delete, submit an application for application&##&
&##&promotion.distance_of_distance_collage_activity&##&,&##&distance of distance collage activity&##&
&##&promotion.do_not_take_the_next_step&##&,&##&do not take the next step&##&
&##&promotion.lottery_intervention&##&,&##&lottery intervention&##&
&##&promotion.the_start_time_of_the_query_is_not_greater_than_the_end_time&##&,&##&the start time of the query is not greater than the end time&##&
&##&promotion.unknown_error&##&,&##&unknown error&##&
&##&promotion.select_a_look_for_the_selected_text_from_the_fast_style_library&##&,&##&select a look for the selected text from the fast style library&##&
&##&满${X}元减${Y}元&##&,&##&¥${Y} off for orders ¥${X}+&##&
&##&美团x件促销提示&##&,&##&Membership type, level, and new and old user screening are not supported; the effective time period defaults to all day; there are up to 5 steps in the same event; the effective period defaults from Monday to Sunday; the participating products are limited to the first 200 items; The US team only supports the second half price.&##&
&##&promotion.term_of_validity_of_coupons&##&,&##&term of validity of coupons&##&
&##&promotion.the_initial_time_of_entry_into_effect_can_not_be_empty&##&,&##&the initial time of entry into effect can not be empty&##&
&##&promotion.residual_quantity&##&,&##&residual quantity&##&
&##&promotion.merge_cell&##&,&##&merge cell&##&
&##&promotion.align&##&,&##&align&##&
&##&promotion.keep_the_choice&##&,&##&keep the choice&##&
&##&promotion.revocation_of_goods&##&,&##&revocation of goods&##&
&##&promotion.category&##&,&##&category&##&
&##&promotion.meta_availability&##&,&##&meta availability&##&
&##&不校验渠道、门店、个人、订单限购数量&##&,&##&Do not verify the number of channels, stores, individuals, orders&##&
&##&promotion.delete_commodity_pool_commodity_success&##&,&##&delete commodity pool commodity success&##&
&##&查询拼团活动异常&##&,&##&Query the group activity abnormal&##&
&##&promotion.zoom_in_and_look_at_it&##&,&##&zoom in and look at it&##&
&##&送&##&,&##&give&##&
&##&promotion.not_beginning&##&,&##&not beginning&##&
&##&promotion.instructions&##&,&##&instructions&##&
&##&把stock_limit表数据转到mp表失败.&##&,&##&Failure to transfer stock_limit table data to MP table.&##&
&##&promotion.fully_meet_the_merchants_pre_sale_demand&##&,&##&fully meet the merchants pre sale demand&##&
&##&promotion.praise&##&,&##&praise&##&
&##&promotion.name_of_the_category&##&,&##&name of the category&##&
&##&查询支付渠道异常&##&,&##&Query the payment channel is abnormal&##&
&##&promotion.scientific_paper&##&,&##&scientific paper&##&
&##&查询图片异常&##&,&##&Query image exception&##&
&##&promotion.trial_channel&##&,&##&trial channel&##&
&##&promotion.the_number_of_individual_purchase_restriction_should_be_less_than_the_number_of_single_channel_purchase&##&,&##&the number of individual purchase restriction should be less than the number of single channel purchase&##&
&##&promotion.this_activity_only_supports_one_merchant&##&,&##&this activity only supports one merchant&##&
&##&promotion.please_select_a_business_first&##&,&##&please select a business first&##&
&##&promotion.then_choose_a_store&##&,&##&then choose a store&##&
&##&promotion.merchant_coupon&##&,&##&merchant coupon&##&
&##&promotion.the_number_of_individual_purchase_restriction_should_be_less_than_the_number_of_store_single_channel_purchase&##&,&##&the number of individual purchase restriction should be less than the number of store single channel purchase&##&
&##&promotion.the_number_of_single_channel_purchases_in_the_store_should_be_less_than_the_number_of_purchases_in_the_single_channel&##&,&##&the number of single channel purchases in the store should be less than the number of purchases in the single channel&##&
&##&promotion.the_number_of_order_purchases_should_be_less_than_the_number_of_outlets_in_the_store&##&,&##&the number of order purchases should be less than the number of outlets in the store&##&
&##&promotion.the_number_of_order_purchases_should_be_limited_to&##&,&##&the number of order purchases should be limited to&##&
&##&promotion.the_number_of_order_purchases_should_be_less_than_the_number_of_orders_purchased_by_the_merchant&##&,&##&the number of order purchases should be less than the number of orders purchased by the merchant&##&
&##&promotion.order_purchase_limit_must_be_positive_integers&##&,&##&order purchase limit must be positive integers&##&
&##&promotion.the_number_of_order_purchases_should_be_less_than_the_number_of_individual_single_channel_purchases&##&,&##&the number of order purchases should be less than the number of individual single channel purchases&##&
&##&promotion.the_retail_price_of_the_goods_is_for_reference_only&##&,&##&the retail price of the goods is for reference only&##&
&##&promotion.and_there_will_be_discrepancies_with_the_actual_sale_price&##&,&##&and there will be discrepancies with the actual sale price&##&
&##&promotion.fixed_amount_must_be_a_positive_integer&##&,&##&Fixed amount must be a positive integer.&##&
&##&promotion.a_maximum_of_one_decimal_digits&##&,&##&A maximum of one decimal digits&##&
&##&promotion.the_imported_promotion_files_can_not_read_the_data&##&,&##&The imported promotion files can not read the data&##&
&##&promotion.Individual_single_channel_purchase_limit_can_not_be_greater_than_merchant_single_channel_purchase_limit&##&,&##&Individual single channel purchase limit can not be greater than merchant single channel purchase limit&##&
&##&promotion.task_creator&##&,&##&task creator&##&
&##&promotion.task_name&##&,&##&task name&##&
&##&promotion.task&##&,&##&task&##&
&##&promotion.task_remark&##&,&##&task remark&##&
&##&promotion.the_name_of_the_task_cannot_be_empty&##&,&##&the name of the task cannot be empty&##&
&##&promotion.task_memo_cannot_be_empty&##&,&##&task memo can't be empty&##&
&##&promotion.marketing_task_list&##&,&##&marketing task list&##&
&##&promotion.create_marketing&##&,&##&create marketing&##&
&##&promotion.create_marketing_task&##&,&##&create marketing task&##&
&##&promotion.active_marketing&##&,&##&active marketing&##&
&##&promotion.new_task&##&,&##&new task&##&
&##&promotion.setting_up_marketing_information&##&,&##&setting up marketing information&##&
&##&promotion.active_marketing_voucher&##&,&##&active marketing voucher&##&
&##&promotion_merchant_product_info&##&,&##&merchant product info&##&
&##&promotion.SMS_will_be_sent_by_1_short_messages&##&,&##&SMS will be sent by 1 short messages&##&
&##&promotion.sampling_setting&##&,&##&sampling setting&##&
&##&promotion.node_time&##&,&##&node time&##&
&##&promotion.sampling&##&,&##&sampling&##&
&##&promotion.growth_value&##&,&##&growth value&##&
&##&promotion.group_notes&##&,&##&group notes&##&
&##&promotion.exclude&##&,&##&exclude&##&
&##&promotion.grouping_type&##&,&##&grouping type&##&
&##&promotion.face_value_condition&##&,&##&face value condition&##&
&##&promotion.according_to_the_week&##&,&##&according to the week&##&
&##&promotion.commission_volume&##&,&##&commission volume&##&
&##&promotion.short_message&##&,&##&short message&##&
&##&promotion.exclude_from_current_group&##&,&##&exclude from current group&##&
&##&promotion.fixed_time&##&,&##&fixed time&##&
&##&promotion.group_name&##&,&##&group name&##&
&##&promotion.go_immediately&##&,&##&go immediately&##&
&##&promotion.integral_quantity&##&,&##&integral quantity&##&
&##&promotion.if_you_do_not_select_grouping_filtering_conditions_the_system_automatically_selects_and_combines_for_you&##&,&##&if you do not select grouping filtering conditions, the system automatically selects and combines for you&##&
&##&promotion.fixed_number_of_people&##&,&##&fixed number of people&##&
&##&promotion.packet_screening&##&,&##&packet screening&##&
&##&promotion.online_node&##&,&##&online node&##&
&##&promotion.sampling_node&##&,&##&sampling node&##&
&##&promotion.extract&##&,&##&extract&##&
&##&promotion.current_grouping_intersection&##&,&##&current grouping intersection&##&
&##&promotion.percentage&##&,&##&percentage&##&
&##&promotion.template_content&##&,&##&template content&##&
&##&promotion.monthly&##&,&##&monthly&##&
&##&promotion.current_total_number_of_groupings&##&,&##&current total number of groupings&##&
&##&promotion.issue_growth_value&##&,&##&issue growth value&##&
&##&promotion.selection_classification&##&,&##&selection classification&##&
&##&promotion.exclusion_node&##&,&##&exclusion node&##&
&##&promotion.there_is_no_template_you_want&##&,&##&there is no template you want&##&
&##&promotion.timed_execution&##&,&##&timed execution&##&
&##&promotion.current_screening_number&##&,&##&current screening number&##&
&##&promotion.number_of_members&##&,&##&number of members&##&
&##&promotion.new_template&##&,&##&new template&##&
&##&promotion.members&##&,&##&members&##&
&##&promotion.number_of_commissions_issued&##&,&##&number of commissions issued&##&
&##&promotion.growth_value_distribution&##&,&##&growth value distribution&##&
&##&promotion.query_grouping&##&,&##&query grouping&##&
&##&promotion.cumulative_product_fraction&##&,&##&cumulative product fraction&##&
&##&promotion.intersection_node&##&,&##&intersection node&##&
&##&promotion.according_to_the_day&##&,&##&according to the day&##&
&##&promotion.touch_mode&##&,&##&touch mode&##&
&##&promotion.time_node&##&,&##&time node&##&
&##&promotion.intersection&##&,&##&intersection&##&
&##&promotion.according_to_the_month&##&,&##&according to the month&##&
&##&promotion.default_plus_unsubscribed_information_5_characters&##&,&##&default plus unsubscribed information 5 characters&##&
&##&promotion.no_end_time&##&,&##&no end time&##&
&##&promotion.cycle&##&,&##&cycle&##&
&##&promotion.the_67_character_is_one&##&,&##&the 67 character is one&##&
&##&promotion.input_growth_value&##&,&##&input growth value&##&
&##&promotion.enter_Commission_quantity&##&,&##&enter Commission quantity&##&
&##&promotion.number_of_input_integrals&##&,&##&number of input integrals&##&
&##&promotion.scope_of_execution&##&,&##&scope of execution&##&
&##&promotion.there_must_be_a_query_node_for_this_task&##&,&##&there must be a query node for this task&##&
&##&promotion.the_task_name_should_be_limited_to_64_words&##&,&##&the task name should be limited to 64 words&##&
&##&promotion.there_must_be_a_preferential_way_node&##&,&##&there must be a preferential way node&##&
&##&promotion.there_must_be_a_preferential_way_node_for_the_task&##&,&##&there must be a preferential way node for the task&##&
&##&promotion.please_select_the_grouping&##&,&##&please select the grouping&##&
&##&promotion.execution_after_examination_and_approval&##&,&##&execution after examination and approval&##&
&##&promotion.task_remark_should_be_limited_to_64_words&##&,&##&task remark should be limited to 64 words&##&
&##&promotion.must_be_larger_than_the_start_time&##&,&##&must be larger than the start time&##&
&##&promotion.please_input_the_correct_number_of_samples&##&,&##&please input the correct number of samples&##&
&##&promotion.please_choose_SMS_template&##&,&##&please choose SMS template&##&
&##&promotion.period&##&,&##&period&##&
&##&promotion.please_select_groups_that_need_to_be_excluded&##&,&##&please select groups that need to be excluded&##&
&##&promotion.growth_value_can_not_be_empty&##&,&##&growth value can not be empty&##&
&##&promotion.query_nodes_must_exist&##&,&##&query nodes must exist&##&
&##&promotion.please_enter_the_percentage_of_the_sample&##&,&##&please enter the percentage of the sample&##&
&##&promotion.execution_of_online_order_payment_is_successful&##&,&##&execution of online order payment is successful&##&
&##&promotion.commission_should_not_be_empty&##&,&##&commission should not be empty&##&
&##&promotion.start_monthly&##&,&##&start monthly&##&
&##&promotion.please_input_legal_score&##&,&##&please input legal score&##&
&##&promotion.monthly_period&##&,&##&monthly period&##&
&##&promotion.there_must_be_a_time_node_for_this_task&##&,&##&there must be a time node for this task&##&
&##&promotion.please_input_the_correct_percentage&##&,&##&please input the correct percentage&##&
&##&promotion.the_sampling_ratio_is_limited_to_100&##&,&##&the sampling ratio is limited to 100&##&
&##&promotion.execute_once&##&,&##&execute once&##&
&##&promotion.integral_must_not_be_empty&##&,&##&integral must not be empty&##&
&##&promotion.please_enter_legal_commission&##&,&##&please enter legal commission&##&
&##&promotion.effective_time_must_be_filled&##&,&##&effective time must be filled&##&
&##&promotion.please_enter_legal_growth_value&##&,&##&please enter legal growth value&##&
&##&promotion.intersect&##&,&##&intersect&##&
&##&promotion.please_choose_the_coupons_you_need_to_add&##&,&##&please choose the coupons you need to add&##&
&##&promotion.please_enter_the_number_of_people_who_need_to_be_sampled&##&,&##&please enter the number of people who need to be sampled&##&
&##&promotion.there_must_be_a_time_node&##&,&##&there must be a time node&##&
&##&promotion.get_a_list_of_listings_based_on_merchant_IDs&##&,&##&Get a list of listings based on merchant IDs&##&
&##&promotion.query_the_selected_merchant_list_is_abnormal&##&,&##&Query the selected merchant list is abnormal&##&
&##&promotion.please_select_a_participating_merchant&##&,&##&Please select a participating merchant&##&
&##&promotion.add_a_merchart_exception&##&,&##&Add a merchart exception&##&
&##&promotion.delete_merchant_exception&##&,&##&Delete merchant exception&##&
&##&系统异常&##&,&##&System abnormality&##&
&##&报名ID异常&##&,&##&Registration ID abnormal&##&
&##&报名商品明细导出,转码异常&##&,&##&The registered product details are exported, and the transcoding is abnormal.&##&
&##&请选择需要导出的报名记录的商品&##&,&##&Please select the item of the registration record that needs to be exported.&##&
&##&导出报名商品列表异常&##&,&##&Export registration item list is abnormal&##&
&##&导出报名商品列表失败&##&,&##&Exporting the list of registered items failed&##&
&##&请选择需要导出的报名ID&##&,&##&Please select the registration ID you want to export.&##&
&##&未查找到相关报名记录&##&,&##&No related registration records were found&##&
&##&未查找到相关活动&##&,&##&No related activity found&##&
&##&报名商品&##&,&##&Registration product&##&
&##&报名商品列表&##&,&##&List of registered products&##&
&##&商品ID&##&,&##&Product ID&##&
&##&商品编码&##&,&##&Commodity code&##&
&##&商品名称&##&,&##&product name&##&
&##&品牌&##&,&##&Brand&##&
&##&市场价&##&,&##&Market price&##&
&##&零售价&##&,&##&retail price&##&
&##&原结算价&##&,&##&Original settlement price&##&
&##&活动结算价&##&,&##&Activity settlement price&##&
&##&库存量&##&,&##&inventory&##&
&##&条码&##&,&##&Bar code&##&
&##&计量单位&##&,&##&unit of measurement&##&
&##&原价&##&,&##&Original price&##&
&##&促销特价&##&,&##&Promotional specials&##&
&##&个人单渠道限购&##&,&##&Individual single channel purchase limit&##&
&##&商家单渠道限购&##&,&##&Merchant single channel purchase limit&##&
&##&促销折扣&##&,&##&Promotional discount&##&
&##&促销价&##&,&##&Sale price&##&
&##&促销直降&##&,&##&Promotion straight down&##&
&##&砍价起始价&##&,&##&Starting price&##&
&##&砍价截止价&##&,&##&Bargaining price&##&
&##&已预订数量&##&,&##&Booked quantity&##&
&##&预售价&##&,&##&Presale price&##&
&##&定金金额&##&,&##&Deposit amount&##&
&##&定金抵扣金额&##&,&##&Deposit deduction amount&##&
&##&分佣&##&,&##&Commission&##&
&##&第&##&,&##&First&##&
&##&层级&##&,&##&Level&##&
&##&状态&##&,&##&status&##&
&##&联系方式&##&,&##&Contact information&##&
&##&报名时间&##&,&##&registration time&##&
&##&报名活动名称&##&,&##&Registration event name&##&
&##&报名活动ID&##&,&##&Registration activity id&##&
&##&元&##&,&##&yuan&##&
&##&查询分佣参数出错&##&,&##&Query sub-commission parameter error&##&
&##&参数不能为空&##&,&##&Parameter cannot be empty&##&
&##&活动报名ID不能为空&##&,&##&Event registration ID cannot be empty&##&
&##&活动商品状态不能为空&##&,&##&Active item status cannot be empty&##&
&##&活动商品不能为空&##&,&##&Active goods cannot be empty&##&
&##&未找到相应的报名活动&##&,&##&No corresponding registration activity found&##&
&##&插入促销活动商家异常&##&,&##&Insert promotion event exception&##&
&##&该活动已经创建过报名活动，无法继续创建！&##&,&##&The event has already created an registration event and cannot be created anymore!&##&
&##&创建报名活动出错！&##&,&##&Error creating registration event!&##&
&##&保存报名活动出错！&##&,&##&Error saving the registration event!&##&
&##&未找到要更新的报名活动&##&,&##&No registration activity found to be updated&##&
&##&报名活动已开始或者结束，无法编辑&##&,&##&Registration activity has started or ended and cannot be edited&##&
&##&促销活动id不能为空&##&,&##&Promotion id cannot be empty&##&
&##&报名活动id不能为空&##&,&##&Registration activity id cannot be empty&##&
&##&添加或修改分佣参数异常&##&,&##&Add or modify the sub-command parameter exception&##&
&##&促销活动不能为空&##&,&##&Promotion cannot be empty&##&
&##&promotion.push_platform&##&,&##&push platform&##&
&##&入参不能为空&##&,&##&Entry cannot be empty&##&
&##&活动ID不能为空&##&,&##&Activity ID cannot be empty&##&
&##&促销活动类型异常&##&,&##&Promotion type is abnormal&##&
&##&促销活动子类型异常&##&,&##&Promotional subtype exception&##&
&##&商品条码&##&,&##&barcode&##&
&##&产品编码&##&,&##&product code&##&
&##&产品名称&##&,&##&product name&##&
&##&产品条码&##&,&##&Product barcode&##&
&##&商家编码&##&,&##&Merchant code&##&
&##&门店单渠道限购&##&,&##&Store single channel purchase limit&##&
&##&订单限购&##&,&##&Order purchase&##&
&##&折扣&##&,&##&Discount&##&
&##&X折&##&,&##&X fold&##&
&##&直降&##&,&##&Direct descending&##&
&##&秒杀价&##&,&##&Price spike&##&
&##&顺序&##&,&##&order&##&
&##&闪购价&##&,&##&Flash purchase price&##&
&##&砍价底线&##&,&##&Bid price bottom line&##&
&##&第1页&##&,&##&page 1&##&
&##&商品ID未填写&##&,&##&Product ID is not filled in&##&
&##&促销参数值设置不合逻辑&##&,&##&Promotional parameter value setting is illogical&##&
&##&商家或门店商品不存在&##&,&##&Merchant or store item does not exist&##&
&##&填写格式错误&##&,&##&Fill in the wrong format&##&
&##&商品已在列表中&##&,&##&The item is already in the list&##&
&##&商品在Excel中重复&##&,&##&Product is repeated in Excel&##&
&##&促销参数必填值未设置&##&,&##&Promotion parameter required value is not set&##&
&##&导入的促销文件读取不到数据&##&,&##&Imported promotional files do not read data&##&
&##&文件上传失败&##&,&##&File upload failed&##&
&##&导入失败原因&##&,&##&Reason for import failure&##&
&##&报名活动不能为空&##&,&##&Registration activity cannot be empty&##&
&##&该活动类型不能导入商品&##&,&##&This event type cannot import items&##&
&##&文件不存在或者文件为空&##&,&##&File does not exist or the file is empty&##&
&##&导入的促销参数文件数据不匹配&##&,&##&Imported promotional parameter file data does not match&##&
&##&导入的促销参数文件未设置促销参数&##&,&##&Promotion parameters are not set in the imported promotion parameter file&##&
&##&导入的促销参数文件读取不到数据&##&,&##&The imported promotion parameter file does not read the data.&##&
&##&文件上传成功&##&,&##&File upload succeeded&##&
&##&查询渠道异常&##&,&##&Query channel is abnormal&##&
&##&不支持的excel类型&##&,&##&Unsupported excel type&##&
&##&导入数据不可超过500000&##&,&##&Import data cannot exceed 500000&##&
&##&第一行必填数据不能为空&##&,&##&The first line of required data cannot be empty&##&
&##&卡面额不能为空&##&,&##&Card denomination cannot be empty&##&
&##&渠道已超出最大数量999&##&,&##&The channel has exceeded the maximum number of 999&##&
&##&参数不合法&##&,&##&Improper parameter&##&
&##&删除渠道信息异常&##&,&##&Delete channel information is abnormal&##&
&##&优惠券活动列表&##&,&##&Coupon activity list&##&
&##&券活动列表导出,转码异常&##&,&##&The voucher activity list is exported, and the transcoding is abnormal.&##&
&##&券明细列表&##&,&##&Voucher list&##&
&##&优惠券活动ID&##&,&##&Coupon Activity ID&##&
&##&优惠券名称&##&,&##&Coupon name&##&
&##&发券类型&##&,&##&Type of bond&##&
&##&优惠券类型&##&,&##&Coupon type&##&
&##&面值&##&,&##&Par value&##&
&##&券活动日期&##&,&##&Voucher event date&##&
&##&总限额&##&,&##&Total limit&##&
&##&张&##&,&##&piece&##&
&##&每人限领&##&,&##&Limited per person&##&
&##&使用条件&##&,&##&Conditions of Use&##&
&##&创建时间&##&,&##&Creation time&##&
&##&发行量&##&,&##&Circulation&##&
&##&已领取&##&,&##&Received&##&
&##&已使用&##&,&##&Used&##&
&##&满&##&,&##&full&##&
&##&可用&##&,&##&Available&##&
&##&导出券活动失败&##&,&##&Export coupon activity failed&##&
&##&券明细列表导出,转码异常&##&,&##&The voucher list is exported and the transcoding is abnormal.&##&
&##&序号&##&,&##&Serial number&##&
&##&操作类型&##&,&##&Operation type&##&
&##&券活动时期&##&,&##&Voucher period&##&
&##&发放手机号&##&,&##&Issue mobile phone number&##&
&##&发放状态&##&,&##&Release status&##&
&##&张数&##&,&##&Number of sheets&##&
&##&操作时间&##&,&##&Operating time&##&
&##&操作账号&##&,&##&Operation account&##&
&##&任务编号&##&,&##&Task number&##&
&##&备注&##&,&##&Remarks&##&
&##&发放&##&,&##&Issue&##&
&##&成功&##&,&##&success&##&
&##&失败&##&,&##&failure&##&
&##&导出批量发券任务异常&##&,&##&Export bulk ticketing task is abnormal&##&
&##&批量发券任务失败&##&,&##&Bulk issue task failed&##&
&##&查询卡券分页出错&##&,&##&Query card coupon page error&##&
&##&查询不到卡券活动异常!&##&,&##&I can't find the card ticket activity abnormally!&##&
&##&查询卡券详情出错&##&,&##&Error in querying card details&##&
&##&券号&##&,&##&Ticket number&##&
&##&订单号&##&,&##&order number&##&
&##&生券日期&##&,&##&Date of coupon&##&
&##&有效时间&##&,&##&Effective time&##&
&##&绑券手机号&##&,&##&Tie coupon phone number&##&
&##&绑券时间&##&,&##&Binding time&##&
&##&已过期&##&,&##&expired&##&
&##&导出券明细列表异常&##&,&##&Export coupon details list is abnormal&##&
&##&导出券明细列表失败&##&,&##&Export voucher list failed&##&
&##&兑换码导出,转码异常&##&,&##&Redemption code export, transcoding exception&##&
&##&兑换码列表&##&,&##&Redemption code list&##&
&##&兑换码&##&,&##&Redemption code&##&
&##&对应关系&##&,&##&Correspondence&##&
&##&兑换手机号&##&,&##&Redeem mobile phone number&##&
&##&兑换时间&##&,&##&Redemption time&##&
&##&投放渠道&##&,&##&Distribution channel&##&
&##&导出兑换码列表异常&##&,&##&Export redemption code list is abnormal&##&
&##&导出兑换码列表失败&##&,&##&Export redemption code list failed&##&
&##&券活动ID不能为空&##&,&##&Voucher activity ID cannot be empty&##&
&##&券活动状态不能为空&##&,&##&Voucher activity status cannot be empty&##&
&##&请导入CSV文件&##&,&##&Please import the CSV file&##&
&##&文件中的号码或输入的号码不能为空！&##&,&##&The number in the file or the number entered cannot be empty!&##&
&##&该券活动无法关闭，请检查&##&,&##&The coupon activity cannot be closed, please check&##&
&##&关闭券活动异常&##&,&##&Close coupon activity abnormal&##&
&##&该券活动无法删除，请检查&##&,&##&The coupon activity cannot be deleted, please check&##&
&##&删除券活动异常&##&,&##&Delete coupon activity is abnormal&##&
&##&当前已经存在导入的卡券，请稍后再试&##&,&##&The imported card has already existed. Please try again later.&##&
&##&无需要导入的卡券&##&,&##&No card coupons to import&##&
&##&导入卡券失败,请检查输入参数。&##&,&##&Import card vouchers failed, please check the input parameters.&##&
&##&删除卡券活动失败：&##&,&##&Deletion of card voucher activity failed:&##&
&##&添加成功&##&,&##&Added successfully&##&
&##&请选择参与商家&##&,&##&Please select a participating merchant&##&
&##&添加商家异常&##&,&##&Add a business exception&##&
&##&删除成功&##&,&##&successfully deleted&##&
&##&删除商家异常&##&,&##&Delete business exception&##&
&##&请选择商品&##&,&##&Please select a product&##&
&##&保存砍价选品,砍价活动不存在!&##&,&##&Save the bargaining options, bargaining activities do not exist!&##&
&##&保存砍价选品异常&##&,&##&Save the bargaining options abnormally&##&
&##&请选择需要修改的商品&##&,&##&Please select the item to be modified&##&
&##&活动不存在&##&,&##&Activity does not exist&##&
&##&商品&##&,&##&commodity&##&
&##&更新信息为空&##&,&##&Update information is empty&##&
&##&砍价活动已提交审核，不能修改选品&##&,&##&The bargaining activity has been submitted for review and the selection cannot be modified.&##&
&##&砍价商品不存在&##&,&##&Bargain goods do not exist.&##&
&##&砍价商品系列主品不存在&##&,&##&The main product of the bargained goods series does not exist&##&
&##&批量修改砍价商品价格与限购数异常&##&,&##&Bulk modification of bargained goods prices and purchases are abnormal&##&
&##&请选择需要删除的商品&##&,&##&Please select the item you want to delete&##&
&##&此商品不在此活动中&##&,&##&This item is not in this event&##&
&##&砍价活动已提交审核，不能删除选品&##&,&##&The bargaining activity has been submitted for review and the selection cannot be deleted.&##&
&##&批量删除砍价商品异常&##&,&##&Bulk removal of bargained goods is abnormal&##&
&##&追加失败&##&,&##&Addition failure&##&
&##&无可追加商品&##&,&##&No additional items&##&
&##&插入砍价活动出错&##&,&##&Error inserting bargaining activity&##&
&##&插入平台和用户限制出错&##&,&##&Insert platform and user limit error&##&
&##&新增砍价活动异常!&##&,&##&New bargaining activity is abnormal!&##&
&##&更新平台和用户限制出错&##&,&##&Update platform and user limit error&##&
